"","rate0_18","zip","rate65"
"1",162.9,"60606",41.5
"2",162.9,"60607",41.5
"3",162.9,"60661",41.5
"4",91.1,"60601",6
"5",91.1,"60602",6
"6",91.1,"60603",6
"7",91.1,"60604",6
"8",91.1,"60605",6
"9",91.1,"60611",6
"10",86.4,"60608",40
"11",86.1,"60609",52.6
"12",227.4,"60610",28.1
"13",227.4,"60654",28.1
"14",184.4,"60612",35
"15",68.2,"60613",18.2
"16",46.3,"60614",31
"17",201.7,"60615",40.1
"18",90.1,"60616",14.9
"19",178.7,"60617",31.4
"20",81,"60618",15.4
"21",221.2,"60619",39
"22",205.8,"60620",39.8
"23",229.8,"60621",100.8
"24",116,"60622",55.9
"25",116,"60642",55.9
"26",97,"60623",56
"27",220.2,"60624",96.4
"28",64.7,"60625",15.9
"29",96.8,"60626",45.8
"30",207.4,"60628",42.7
"31",83.5,"60629",29.1
"32",84.3,"60630",15
"33",40.7,"60631",5.4
"34",53.1,"60632",20
"35",70.4,"60634",11.1
"36",211.4,"60636",48.7
"37",281.4,"60637",47.7
"38",59.6,"60638",11.7
"39",108.9,"60639",59.7
"40",84.6,"60640",15.2
"41",102,"60641",26.5
"42",135.8,"60643",31.8
"43",246,"60644",47.1
"44",76.3,"60645",23.5
"45",37.9,"60646",7.6
"46",93.7,"60647",61.1
"47",237.5,"60649",63.6
"48",192.9,"60651",59.1
"49",83.6,"60652",22.9
"50",225.8,"60653",35.5
"51",24,"60655",3.2
"52",47.7,"60656",8.9
"53",52.7,"60657",16.8
"54",71.1,"60659",29.2
"55",68.4,"60660",15.9
"56",91.5,"60707",21.6
"57",91.5,"60635",21.6
"58",169.7,"60827",43.1
"59",169.7,"60633",43.1
