"","AQI"
"1",39.0501574525012
"2",34.1448290410155
"3",30.6396761163842
"4",53.920940247444
"5",29.5867653042078
"6",28.0993243471504
"7",39.0206400742115
"8",26.6788086580087
"9",19.6737232956745
"10",42.8799603174603
"11",38.4037534095764
"12",31.0092067141795
"13",35.1015090678552
"14",33.1121031746032
"15",29.8165637467108
"16",25.048016695825
"17",44.7515213611525
"18",31.9627600042234
"19",50.1418139354186
"20",65.3437286397813
"21",53.708186863262
"22",52.072688545115
"23",37.5255667360629
"24",39.8018895700573
"25",39.7008592910849
"26",32.8641604010025
"27",32.6620164157828
"28",28.335299101974
"29",26.3359108527955
"30",37.157264173998
"31",40.3105830406967
"32",31.0480871969422
"33",23.3971997773468
"34",47.61269841
"35",47.93730159
"36",47.26920635
"37",42.84920635
"38",38.90952381
"39",40.68952381
"40",43.55238095
"41",46.06666667
"42",48.28571429
"43",46.23809524
"44",44.06666667
"45",48.2
"46",49.59047619
"47",53.41904762
"48",57.76190476
"49",59.15396825
"50",61.95619048
"51",61.45142857
"52",56.02666667
"53",51.36571429
"54",43.32571429
"55",36.70857143
"56",35.05396825
"57",34.73142857
"58",38.00761905
"59",41.17333333
"60",40.71047619
"61",39.84190476
"62",38.71809524
"63",39.67936508
"64",39.7352381
"65",37.8531746
"66",35.26285714
"67",35.70952381
"68",37.76190476
"69",41.5
"70",39.78888889
"71",35.7047619
"72",34.38952381
"73",37.88253968
"74",40.22380952
"75",39.6047619
"76",35.2952381
"77",32.36190476
"78",32.9984127
"79",35.95873016
"80",34.13333333
"81",31
"82",30.74444444
"83",31.95079365
"84",37.1352381
"85",40.77142857
"86",41.96190476
"87",44.13968254
"88",48.26666667
"89",48.74444444
"90",46.83492063
"91",44.20571429
"92",46.57777778
"93",47.32380952
"94",46.87142857
"95",46.85714286
"96",50.43809524
"97",55.89047619
"98",58.98095238
"99",54.81904762
"100",52.34285714
"101",49.58571429
"102",49.24285714
"103",45.1
"104",38.86666667
"105",33.39047619
"106",31.0952381
"107",29.04920635
"108",30.81904762
"109",31.4031746
"110",36.14444444
"111",43.98253968
"112",48.33015873
"113",49.81904762
"114",49.03809524
"115",47.6
"116",42.35238095
"117",35.74285714
"118",34.11428571
"119",37.84761905
"120",42.45714286
"121",47.17142857
"122",50.64761905
"123",53.61904762
"124",55.87619048
"125",53.75238095
"126",49.94285714
"127",45.19047619
"128",40.89206349
